Provincia di destinazione;Regione geografica di residenza;Paese di residenza;Esercizi alberghieri - Arrivi;Esercizi alberghieri - Presenze;Esercizi complementari - Arrivi;Esercizi complementari - Presenze;Totale esercici ricettivi - Arrivi;Totale esercici ricettivi - Presenze
Latina;Paesi extraeuropei;Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco);303;610;6;15;309;625
Latina;Paesi extraeuropei;Sud Africa;52;93;7;20;59;113
Latina;Paesi extraeuropei;Altri paesi africani;380;843;15;39;395;882
Latina;Paesi extraeuropei;Israele;475;823;26;38;501;861
Latina;Paesi extraeuropei;Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen);319;735;16;24;335;759
Latina;Paesi extraeuropei;Cina;1322;2203;68;93;1390;2296
Latina;Paesi extraeuropei;Giappone;243;567;20;29;263;596
Latina;Paesi extraeuropei;Corea del sud;366;708;22;62;388;770
Latina;Paesi extraeuropei;India;230;475;13;28;243;503
Latina;Paesi extraeuropei;Altri Paesi dell'Asia;534;1212;40;277;574;1489
Latina;Paesi extraeuropei;Canada;1143;2580;78;206;1221;2786
Latina;Paesi extraeuropei;Stati Uniti;6321;15929;514;1240;6835;17169
Latina;Paesi extraeuropei;Messico;103;188;11;52;114;240
Latina;Paesi extraeuropei;Argentina;594;1193;26;39;620;1232
Latina;Paesi extraeuropei;Brasile;572;1120;53;191;625;1311
Latina;Paesi extraeuropei;Venezuela;84;176;4;26;88;202
Latina;Paesi extraeuropei;Altri Paesi dell'America Settentrionale;14;19;..;..;14;19
Latina;Paesi extraeuropei;Altri paesi dell'America Centro- Meridionale;477;929;65;565;542;1494
Latina;Paesi extraeuropei;Australia;731;1472;101;169;832;1641
Latina;Paesi extraeuropei;Nuova Zelanda;150;327;86;194;236;521
Latina;Paesi extraeuropei;Altri Paesi dell'Oceania;5;5;..;..;5;5
Latina;Paesi extraeuropei;Altri;152;282;91;1055;243;1337
Frosinone;Paesi Europei non UE;  Islanda;17;24;4;11;21;35
Frosinone;Paesi Europei non UE;  Norvegia;129;218;8;9;137;227
Frosinone;Paesi Europei non UE;  Russia;1407;3523;37;73;1444;3596
Frosinone;Paesi Europei non UE;  Turchia;122;237;7;16;129;253
Frosinone;Paesi Europei non UE;Svizzera e Liechtenstein;1141;2171;89;179;1230;2350
Frosinone;Paesi Europei non UE;  Altri paesi europei;596;1503;14;18;610;1521
Frosinone;Paesi extraeuropei;Egitto;53;86;3;11;56;97
Frosinone;Paesi extraeuropei;Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco);180;365;7;12;187;377
Frosinone;Paesi extraeuropei;Sud Africa;21;48;2;7;23;55
Frosinone;Paesi extraeuropei;Altri paesi africani;116;220;5;12;121;232
Frosinone;Paesi extraeuropei;Israele;674;1169;23;36;697;1205
Frosinone;Paesi extraeuropei;Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen);341;642;30;88;371;730
Frosinone;Paesi extraeuropei;Cina;1111;1567;28;33;1139;1600
Frosinone;Paesi extraeuropei;Giappone;313;857;8;13;321;870
Frosinone;Paesi extraeuropei;Corea del sud;51375;131714;6;17;51381;131731
Frosinone;Paesi extraeuropei;India;201;488;1;1;202;489
Frosinone;Paesi extraeuropei;Altri Paesi dell'Asia;1450;2345;18;27;1468;2372
Frosinone;Paesi extraeuropei;Canada;1011;2224;143;307;1154;2531
Frosinone;Paesi extraeuropei;Stati Uniti;3568;8958;219;452;3787;9410
Frosinone;Paesi extraeuropei;Messico;184;273;2;3;186;276
Frosinone;Paesi extraeuropei;Argentina;387;676;28;38;415;714
Frosinone;Paesi extraeuropei;Brasile;414;706;17;31;431;737
Frosinone;Paesi extraeuropei;Venezuela;56;94;9;15;65;109
Frosinone;Paesi extraeuropei;Altri Paesi dell'America Settentrionale;1;1;..;..;1;1
Frosinone;Paesi extraeuropei;Altri paesi dell'America Centro- Meridionale;238;421;10;21;248;442
Frosinone;Paesi extraeuropei;Australia;335;603;42;71;377;674
Frosinone;Paesi extraeuropei;Nuova Zelanda;110;154;8;10;118;164
Frosinone;Paesi extraeuropei;Altri Paesi dell'Oceania;2;2;..;..;2;2
Frosinone;Paesi extraeuropei;Altri;92;206;..;..;92;206
